2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
Bachelor's degree,LOS050,5 years,YSG05,Civil engineering and related studies,FOS20404,0211 Engineering managers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Civil engineering and related studies,FOS20404,0631 Restaurant and food service managers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Civil engineering and related studies,FOS20404,2141 Industrial and manufacturing engineers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Civil engineering and related studies,FOS20404,"4161 Natural and applied science policy researchers, consultants and program officers",15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,Total - Occupation (2006 NOC - HRSDC),12405,11655,11100,555,745,0.89,0.05,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5124 Professional occupations in public relations and communications,1790,1740,1685,50,50,0.94,0.03,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0611 Sales, marketing and advertising managers",660,640,625,0,20,0.95,0.00,0.03,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5123 Journalists,560,550,545,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4163 Business development officers and marketing researchers and consultants,545,525,515,0,20,0.94,0.00,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5121 Authors and writers,400,370,360,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"5131 Producers, directors, choreographers and related occupations",310,310,295,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1221 Administrative officers,305,290,265,20,15,0.87,0.07,0.05,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1226 Conference and event planners,295,275,275,0,0,0.93,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1411 General office clerks,285,270,270,0,10,0.95,0.00,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5122 Editors,245,220,220,0,20,0.90,0.00,0.08,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6421 Retail salespersons and sales clerks,240,240,225,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5241 Graphic designers and illustrators,230,230,220,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"1453 Customer service, information and related clerks",205,185,175,0,0,0.85,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"6411 Sales representatives, wholesale trade (non-technical)",185,175,180,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0621 Retail trade managers,175,165,160,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2175 Web designers and developers,175,165,160,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6453 Food and beverage servers,175,175,170,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",140,140,140,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1222 Executive assistants,135,135,130,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2171 Information systems analysts and consultants,120,120,120,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1414 Receptionists and switchboard operators/1424 Telephone operators,110,105,60,40,0,0.55,0.38,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1121 Specialists in human resources,100,105,90,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6232 Real estate agents and salespersons,100,100,100,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4122 Post-secondary teaching and research assistants,95,85,70,0,0,0.74,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1122 Professional occupations in business services to management,90,85,85,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4142 Elementary school and kindergarten teachers,90,90,90,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1223 Personnel and recruitment officers,85,85,85,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1473 Production clerks,85,90,90,0,0,1.06,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6431 Travel counsellors,85,85,80,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0631 Restaurant and food service managers,80,80,80,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4164 Social policy researchers, consultants and program officers",80,80,75,0,0,0.94,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1241 Secretaries (except legal and medical),75,75,75,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4131 College and other vocational instructors,75,75,60,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4141 Secondary school teachers,70,70,60,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1433 Customer service representatives - financial services,65,65,65,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6261 Police officers (except commissioned),65,55,55,0,0,0.85,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0512 Managers, publishing, motion pictures, broadcasting and performing arts",60,55,50,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1111 Financial auditors and accountants,60,65,60,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",60,55,55,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6611 Cashiers,60,60,55,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"6641 Food counter attendants, kitchen helpers and related occupations",60,55,55,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1114 Other financial officers,55,50,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6211 Retail trade supervisors,55,55,55,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6452 Bartenders,55,55,55,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1232 Loan officers,50,50,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1431 Accounting and related clerks,50,45,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2174 Computer programmers and interactive media developers,50,55,50,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4212 Community and social service workers,50,50,45,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5222 Film and video camera operators,50,50,50,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5231 Announcers and other broadcasters,50,40,40,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0121 Insurance, real estate and financial brokerage managers",45,45,35,0,0,0.78,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5225 Audio and video recording technicians,45,45,50,0,0,1.11,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6231 Insurance agents and brokers,45,40,35,0,0,0.78,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0122 Banking, credit and other investment managers",40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4166 Education policy researchers, consultants and program officers",40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5211 Library and archive technicians and assistants,40,40,30,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5221 Photographers,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5224 Broadcast technicians,40,40,35,0,0,0.88,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",35,30,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0314 Managers in social, community and correctional services",35,35,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1233 Insurance adjusters and claims examiners,35,30,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,3152 Registered nurses,35,30,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4165 Health policy researchers, consultants and program officers",35,30,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"5254 Program leaders and instructors in recreation, sport and fitness",35,30,25,0,0,0.71,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6472 Elementary and secondary school teacher assistants,35,40,40,0,0,1.14,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0112 Human resources managers,30,25,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"1213 Supervisors, library, correspondence and related information clerks",30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"1228 Immigration, employment insurance and revenue officers",30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1441 Administrative clerks,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2282 User support technicians,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4167 Recreation, sports and fitness program supervisors and consultants",30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4211 Paralegal and related occupations,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4213 Employment counsellors,30,25,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"1452 Correspondence, publication and related clerks",25,20,15,0,0,0.60,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4143 Educational counsellors,25,30,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4153 Family, marriage and other related counsellors",25,20,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4168 Program officers unique to government,25,30,30,0,0,1.20,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,5223 Graphic arts technicians,25,20,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"5227 Support occupations in motion pictures, broadcasting and the performing arts",25,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0014 Senior managers - health, education, social and community services and membership organizations",20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0114 Other administrative services managers,20,20,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0123 Other business services managers,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0312 Administrators, post-secondary education and vocational training",20,15,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1471 Shippers and receivers,20,20,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2172 Database analysts and data administrators,20,20,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,3143 Occupational therapists,20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,3414 Other assisting occupations in support of health services,20,15,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,4152 Social workers,20,15,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6233 Retail and wholesale buyers,20,25,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6432 Pursers and flight attendants,20,20,25,0,0,1.25,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"0013 Senior managers - financial, communications and other business services",15,20,20,0,0,1.33,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,0111 Financial managers,15,15,10,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1413 Records management and filing clerks,15,15,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"1434 Banking, insurance and other financial clerks",15,20,20,0,0,1.33,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1454 Survey interviewers and statistical clerks,15,15,10,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1474 Purchasing and inventory clerks,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2131 Civil engineers,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,2281 Computer network technicians,15,15,10,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,3111 Specialist physicians,15,10,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"5125 Translators, terminologists and interpreters",15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6212 Food service supervisors,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6242 Cooks,15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"7218 Supervisors, printing and related occupations",15,10,10,0,0,0.67,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,1423 Desktop publishing operators and related occupations,10,10,10,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,"4161 Natural and applied science policy researchers, consultants and program officers",10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,6623 Other elemental sales occupations,10,10,15,0,0,1.50,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,Total - Occupation (2006 NOC - HRSDC),5130,4930,4755,170,200,0.93,0.03,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2174 Computer programmers and interactive media developers,1285,1270,1215,55,0,0.95,0.04,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2173 Software engineers and designers,935,925,920,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2147 Computer engineers (except software engineers),655,660,645,0,0,0.98,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2171 Information systems analysts and consultants,590,560,555,0,25,0.94,0.00,0.04,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,0213 Computer and information systems managers,150,140,145,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2175 Web designers and developers,135,135,120,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2133 Electrical and electronics engineers,100,95,95,0,0,0.95,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2282 User support technicians,100,100,90,0,0,0.90,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2281 Computer network technicians,55,55,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2283 Systems testing technicians,55,60,60,0,0,1.09,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,"0643 Commissioned officers, Armed Forces",45,45,50,0,0,1.11,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,"0611 Sales, marketing and advertising managers",40,35,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2141 Industrial and manufacturing engineers,40,30,30,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,4122 Post-secondary teaching and research assistants,40,30,30,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,1112 Financial and investment analysts,35,35,35,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,1122 Professional occupations in business services to management,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,"0013 Senior managers - financial, communications and other business services",25,25,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,"1113 Securities agents, investment dealers and brokers",25,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,5223 Graphic arts technicians,25,30,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,"1453 Customer service, information and related clerks",20,15,15,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,2172 Database analysts and data administrators,20,25,20,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,0211 Engineering managers,15,20,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer engineering,FOS20405,4131 College and other vocational instructors,15,15,15,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,Total - Occupation (2006 NOC - HRSDC),10815,10205,9865,340,615,0.91,0.03,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2174 Computer programmers and interactive media developers,3860,3815,3745,70,45,0.97,0.02,0.01,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2171 Information systems analysts and consultants,1565,1555,1545,0,0,0.99,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2173 Software engineers and designers,585,550,550,0,35,0.94,0.00,0.06,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2282 User support technicians,360,345,320,25,0,0.89,0.07,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2281 Computer network technicians,350,350,340,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2175 Web designers and developers,335,315,305,15,0,0.91,0.05,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,0213 Computer and information systems managers,315,310,305,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2147 Computer engineers (except software engineers),185,190,180,0,0,0.97,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2172 Database analysts and data administrators,120,110,90,0,0,0.75,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2283 Systems testing technicians,120,115,115,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2242 Electronic service technicians (household and business equipment),115,110,110,0,0,0.96,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1122 Professional occupations in business services to management,100,100,100,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,6421 Retail salespersons and sales clerks,90,85,75,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4122 Post-secondary teaching and research assistants,85,75,65,0,0,0.76,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4141 Secondary school teachers,65,65,60,0,0,0.92,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"1453 Customer service, information and related clerks",60,55,50,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4131 College and other vocational instructors,60,60,65,0,0,1.08,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,0131 Telecommunication carriers managers,55,50,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"0611 Sales, marketing and advertising managers",55,55,45,0,0,0.82,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,0621 Retail trade managers,55,55,50,0,0,0.91,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,5241 Graphic designers and illustrators,55,55,55,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1112 Financial and investment analysts,45,45,40,0,0,0.89,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,5223 Graphic arts technicians,45,35,35,0,0,0.78,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"6641 Food counter attendants, kitchen helpers and related occupations",45,45,45,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,2133 Electrical and electronics engineers,40,40,40,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4121 University professors,40,20,0,0,0,0.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1111 Financial auditors and accountants,35,40,30,0,0,0.86,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1232 Loan officers,35,40,35,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"0122 Banking, credit and other investment managers",30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1411 General office clerks,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1431 Accounting and related clerks,30,35,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4142 Elementary school and kindergarten teachers,30,25,25,0,0,0.83,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,4163 Business development officers and marketing researchers and consultants,30,30,30,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1114 Other financial officers,25,20,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,1221 Administrative officers,25,20,20,0,0,0.80,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,6261 Police officers (except commissioned),25,30,25,0,0,1.00,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"6464 Other ranks, armed forces",20,25,25,0,0,1.25,0.00,0.00,,
Bachelor's degree,LOS050,5 years,YSG05,Computer science,FOS20201,"0013 Senior managers - financial, communications and other business services",15,15,20,0,0,1.33,0.00,0.00,,
