2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,8431 General farm workers,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1121 Specialists in human resources,45,45,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1222 Executive assistants,45,35,35,0,0,0.78,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1434 Banking, insurance and other financial clerks",45,50,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6452 Bartenders,45,40,40,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"1215 Supervisors, recording, distributing and scheduling occupations",40,35,40,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1233 Insurance adjusters and claims examiners,40,35,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,3411 Dental assistants,40,35,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6211 Retail trade supervisors,40,40,45,0,0,1.13,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6472 Elementary and secondary school teacher assistants,40,35,40,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"9619 Other labourers in processing, manufacturing and utilities",40,40,30,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,3414 Other assisting occupations in support of health services,35,35,30,0,0,0.86,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7411 Truck drivers,35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,7412 Bus drivers and subway and other transit operators,35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,"0611 Sales, marketing and advertising managers",30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1224 Property administrators,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1234 Insurance underwriters,30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,1475 Dispatchers and radio operators,30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,2174 Computer programmers and interactive media developers,30,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,4142 Elementary school and kindergarten teachers,30,30,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,5124 Professional occupations in public relations and communications,30,25,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6212 Food service supervisors,30,30,35,0,0,1.17,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Accounting and related services,FOS1183,6623 Other elemental sales occupations,30,30,25,0,0,0.83,0.00,0.00,,
