"2013 National Graduates Survey (Class of 2009/2010) - Number of graduates by educational information, labour market outcome three years after graduation and whether they would choose the same field of study again",,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,EMPLOYMENT_STATUS,EMPLOYMENT_STATUS_CODE,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN,WOULD_CHOOSE_SAME_FIELD_OF_STUDY_COMPLETED_AGAIN_CODE,COUNTS,Percent
Master's degree,LOS070,Architecture and engineering ,FOS204,Total,LFA0,Yes,CFOS01,2746,0.86406545
Master's degree,LOS070,Architecture and engineering ,FOS204,Total,LFA0,No,CFOS02,432,0.13593455
Master's degree,LOS070,Architecture and engineering ,FOS204,Total,LFA0,Total,CFOS0,3178,1
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Total,LFA0,Yes,CFOS01,2014,0.749534797
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Total,LFA0,No,CFOS02,673,0.250465203
Master's degree,LOS070,Physical and life sciences technologies ,FOS205,Total,LFA0,Total,CFOS0,2687,1
Master's degree,LOS070,Humanities ,FOS206,Total,LFA0,Yes,CFOS01,1704,0.817266187
Master's degree,LOS070,Humanities ,FOS206,Total,LFA0,No,CFOS02,381,0.182733813
Master's degree,LOS070,Humanities ,FOS206,Total,LFA0,Total,CFOS0,2085,1
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Total,LFA0,Yes,CFOS01,3717,0.75
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Total,LFA0,No,CFOS02,1239,0.25
Master's degree,LOS070,Social and behavioural sciences ,FOS207,Total,LFA0,Total,CFOS0,4956,1
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,Yes,CFOS01,0,0
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,No,CFOS02,0,0
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Total,LFA0,Total,CFOS0,925,1
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Total,LFA0,Yes,CFOS01,3665,0.832387009
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Total,LFA0,No,CFOS02,738,0.167612991
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Total,LFA0,Total,CFOS0,4403,1
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Total,LFA0,Yes,CFOS01,8809,0.896681596
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Total,LFA0,No,CFOS02,1015,0.103318404
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Total,LFA0,Total,CFOS0,9824,1
Master's degree,LOS070,Total,FOS2,Total,LFA0,Yes,CFOS01,29470,0.839960097
Master's degree,LOS070,Total,FOS2,Total,LFA0,No,CFOS02,5615,0.160039903
Master's degree,LOS070,Total,FOS2,Total,LFA0,Total,CFOS0,35085,1
