"2013 National Graduates Survey (Class of 2009/2010) - Number of employed graduates, by educational information and extent to which their job was related to their certificate, diploma or degree",,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB_CODE,COUNTS,Percent
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Somewhat related,JFOS02,4622,0.2824
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Not related at all,JFOS03,6937,0.4239
Bachelor or first professional degree,LOS050,Humanities ,FOS206,Total,JFOS0,16365,1.00
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Closely related,JFOS01,11148,0.4012
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Somewhat related,JFOS02,7839,0.2821
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Not related at all,JFOS03,8799,0.3167
Bachelor or first professional degree,LOS050,Social and behavioural sciences ,FOS207,Total,JFOS0,27786,1.00
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Closely related,JFOS01,1502,0.3316
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Somewhat related,JFOS02,1052,0.2323
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Not related at all,JFOS03,1976,0.4363
Bachelor or first professional degree,LOS050,"Design, music, performing, fine and applied arts ",FOS208,Total,JFOS0,4529,1.00
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Closely related,JFOS01,13745,0.7915
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Somewhat related,JFOS02,1749,0.1007
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Not related at all,JFOS03,1870,0.1077
Bachelor or first professional degree,LOS050,"Health parks, recreation and fitness ",FOS209,Total,JFOS0,17365,1.00
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Closely related,JFOS01,16352,0.6002
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Somewhat related,JFOS02,7981,0.2929
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Not related at all,JFOS03,2913,0.1069
Bachelor or first professional degree,LOS050,"Business, management, marketing and related support services ",FOS210,Total,JFOS0,27246,1.00
Bachelor or first professional degree,LOS050,Total,FOS2,Closely related,JFOS01,70554,0.5397
Bachelor or first professional degree,LOS050,Total,FOS2,Somewhat related,JFOS02,30693,0.2348
Bachelor or first professional degree,LOS050,Total,FOS2,Not related at all,JFOS03,29489,0.2256
Bachelor or first professional degree,LOS050,Total,FOS2,Total,JFOS0,130736,1.00
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Closely related,JFOS01,404,0.5788
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Somewhat related,JFOS02,209,0.2994
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Not related at all,JFOS03,85,0.1218
Master's degree,LOS070,"Agriculture, natural resources and conservation ",FOS201,Total,JFOS0,698,1.00
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Closely related,JFOS01,829,0.6696
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Somewhat related,JFOS02,357,0.2884
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Not related at all,JFOS03,51,0.0412
Master's degree,LOS070,"Computer science, mathematics and statistics ",FOS202,Total,JFOS0,1238,1.00
Master's degree,LOS070,Education ,FOS203,Closely related,JFOS01,3115,0.8051
Master's degree,LOS070,Education ,FOS203,Somewhat related,JFOS02,629,0.1626
Master's degree,LOS070,Education ,FOS203,Not related at all,JFOS03,125,0.0323
Master's degree,LOS070,Education ,FOS203,Total,JFOS0,3869,1.00
Master's degree,LOS070,Architecture and engineering ,FOS204,Closely related,JFOS01,1879,0.7177
