"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"2128346097","02/04/16","WePlay 3 EU Qualifiers","LC","WG 2","RADIANT","","","20.30","23 - 7"
"2180278248","02/26/16","WePlay 3 EU Qualifiers","NaVi","PD 2","RADIANT","","","20.43","19 - 7"
"2126100455","02/03/16","Dota Pit League Season 4","TSpirit","Vega","DIRE","","","20.57","2 - 17"
"2161051749","02/18/16","WePlay 3 EU Qualifiers","Vega","Empire","RADIANT","","","20.62","17 - 4"
"2111007976","01/28/16","WePlay 3 EU Qualifiers","Empire","WP   4","RADIANT","","","20.70","18 - 9"
"2111152410","01/28/16","Dota Pit League Season 4","FF","4ASC","RADIANT","","","20.75","19 - 4"
"2135990319","02/07/16","ESL One EU Qualifiers","HR","4ASC","RADIANT","","","21.00","16 - 6"
"2181130001","02/26/16","Shanghai Major Finals","Nb","LGD.cn","RADIANT","","","21.03","27 - 9"
"2121623528","02/01/16","WePlay 3 EU Qualifiers","AF  3","CL","RADIANT","","","21.18","25 - 14"
"2105297570","01/25/16","Canada Cup 6","Infamous 2","NoT","RADIANT","","","21.30","29 - 11"
"2108491827","01/27/16","WePlay 3 SEA Qualifiers","TNC","MVP Phoenix","DIRE","","","21.32","6 - 27"
"2093284015","01/20/16","MarsTV League 2015 China Qualifiers","TongFu","CDEC","RADIANT","UB Semifinals","1","21.32","20 - 3"
"2107746062","01/26/16","MarsTV League Winter 2015 Finals","EG","TSpirit","RADIANT","","","21.48","26 - 7"
"2105006485","01/25/16","Dota Pit League Season 4","4ASC","Liquid","DIRE","","","21.62","7 - 26"
"2102424101","01/24/16","ProDota 2 National Cup","Unknown","RO","DIRE","","","21.67","10 - 38"
"2110573698","01/28/16","WePlay 3 SEA Qualifiers","MVP Phoenix","SiG.Tr","RADIANT","","","21.73","37 - 12"
"2115403451","01/30/16","MarsTV League Winter 2015 Finals","OG","EHOME","DIRE","","","21.80","8 - 21"
"2178259496","02/25/16","WePlay 3 EU Qualifiers","AF  3","TBE 2","RADIANT","","","21.83","32 - 6"
"2142768039","02/10/16","ESL One Americas Qualifiers","coL 2","Infamous 2","RADIANT","","","21.85","28 - 8"
"2178853523","02/25/16","Shanghai Major Finals","VG","Fnatic.MY","DIRE","","","21.87","3 - 16"
"2095187327","01/21/16","Dota Pit League Season 4","Liquid","Empire","RADIANT","","","21.98","18 - 11"
"2121770198","02/01/16","WePlay 3 Americas Qualifiers","NME","E.Wolves","DIRE","","","22.10","8 - 27"
"2154396655","02/15/16","Uprise Champions Cup Special","DT5","CC team","RADIANT","","","22.25","16 - 4"
"2119167308","01/31/16","ProDota 2 National Cup","TeamRO","TR  3","RADIANT","","","22.30","27 - 13"
"2117383841","01/30/16","MarsTV League Winter 2015 Finals","OG","EG","DIRE","","","22.37","1 - 22"
"2183894124","02/27/16","Shanghai Major Finals","coL 2","EG","DIRE","","","22.40","3 - 22"
"2156725665","02/16/16","ProDotA Cup Americas 2","Averia","YeS 2","RADIANT","","","22.62","17 - 3"
"2102662585","01/24/16","WePlay 3 EU Qualifiers","STEAK","WG 2","RADIANT","","","22.63","20 - 7"
"2140559679","02/09/16","Dota Pit League Season 4","TSpirit","99","RADIANT","","","22.68","21 - 21"
"2094553066","01/21/16","MarsTV League 2015 China Qualifiers","Way","Newbee.Y","DIRE","LB Round of 16","2","22.70","4 - 15"
"2156393869","02/16/16","WePlay 3 SEA Qualifiers","XctN 2","SiG.Tr","RADIANT","","","22.75","25 - 10"
"2154633446","02/15/16","ESL One EU Qualifiers","NaVi","Vega","RADIANT","","","22.75","29 - 12"
"2145285558","02/11/16","ESL One Americas Qualifiers","Archon","PoF 2","RADIANT","","","22.78","18 - 17"
"2091713322","01/20/16","MarsTV League 2015 China Qualifiers","CDEC.Y 2","Newbee.Y","RADIANT","UB Quarterfinals","1","22.88","27 - 11"
"2107957556","01/27/16","MarsTV League Winter 2015 Finals","TSpirit","Nb","DIRE","","","23.07","7 - 35"
"2108052578","01/27/16","MarsTV League Winter 2015 Finals","EHOME","LGD.cn","RADIANT","","","23.12","21 - 9"
"2130809877","02/05/16","WePlay 3 EU Qualifiers","WG 2","CHAMPLOO","DIRE","","","23.15","4 - 28"
"2156951456","02/16/16","WePlay 3 EU Qualifiers","WG 2","COOKISS","DIRE","","","23.18","21 - 45"
"2191441268","03/02/16","Shanghai Major Finals","MVP Phoenix","LGD.cn","RADIANT","","","23.27","18 - 4"
"2154270247","02/15/16","WePlay 3 EU Qualifiers","HR","Vega","DIRE","","","23.27","8 - 24"
"2176134660","02/24/16","WePlay 3 EU Qualifiers","WG 2","AF  3","DIRE","","","23.30","15 - 40"
"2128557124","02/04/16","Canada Cup 6","E.Wolves","coL 2","RADIANT","","","23.32","21 - 10"
"2099839587","01/23/16","Dota Pit League Season 4","Vega","CL","RADIANT","","","23.32","23 - 9"
"2098136969","01/22/16","MarsTV League 2015 China Qualifiers","TongFu","Nb","RADIANT","UB Finals","1","23.42","26 - 7"
"2177504892","02/25/16","WePlay 3 SEA Qualifiers","Redeem","XctN 2","DIRE","","","23.43","13 - 38"
"2116001889","01/30/16","MarsTV League Winter 2015 Finals","EG","LGD.cn","RADIANT","","","23.57","28 - 8"
"2104414310","01/25/16","Uprise Champions Cup Special","Enso 2","Unknown","RADIANT","","","23.63","21 - 8"
"2135913605","02/07/16","ESL One EU Qualifiers","HR","4ASC","RADIANT","","","23.82","14 - 9"
"2142589648","02/10/16","ESL One EU Qualifiers","Power Rangers","Vega","DIRE","","","23.95","9 - 21"
"2130698905","02/05/16","WePlay 3 EU Qualifiers","PRIES 2","Liquid","DIRE","","","24.00","9 - 34"
"2175861659","02/24/16","WePlay 3 EU Qualifiers","Power Rangers","FF","RADIANT","","","24.02","31 - 10"
"2177257309","02/25/16","Shanghai Major Finals","MVP Phoenix","Secret","RADIANT","","","24.03","21 - 15"
"2133063929","02/06/16","ESL One EU Qualifiers","HWA 2","Power Rangers","RADIANT","","","24.10","24 - 4"
"2101792278","01/24/16","MarsTV League 2015 China Qualifiers","Nb","CDEC.Y 2","RADIANT","Finals","4","24.18","23 - 3"
"2195854935","03/03/16","Shanghai Major Finals","Secret","EG","DIRE","","","24.30","6 - 23"
"2097434833","01/22/16","WePlay 3 EU Qualifiers","NLG","WG 2","RADIANT","","","24.30","21 - 10"
"2183792909","02/27/16","Shanghai Major Finals","Liquid","VP 2","RADIANT","","","24.32","19 - 6"
"2156836226","02/16/16","WePlay 3 EU Qualifiers","Vega","PD 2","RADIANT","","","24.33","31 - 12"
"2156753171","02/16/16","ESL One EU Qualifiers","Empire","LC","RADIANT","","","24.40","31 - 11"
"2176559949","02/24/16","Shanghai Major Finals","CDEC","Secret","DIRE","","","24.45","6 - 16"
"2096395904","01/22/16","MarsTV League 2015 China Qualifiers","CDEC.Y 2","iG","RADIANT","LB Quarterfinals","3","24.50","31 - 11"
"2181021263","02/26/16","Shanghai Major Finals","OG","Archon","RADIANT","","","24.52","23 - 11"
"2088689965","01/18/16","WePlay 3 Americas Qualifiers","DC","LvT","RADIANT","","","24.53","20 - 10"
"2136258105","02/07/16","ESL One Americas Qualifiers","Infamous 2","paiN","RADIANT","","","24.60","16 - 8"
"2108453277","01/27/16","MarsTV League Winter 2015 Finals","LGD.cn","coL 2","RADIANT","","","24.70","27 - 14"
"2096571723","01/22/16","MarsTV League 2015 China Qualifiers","CDEC","Newbee.Y","DIRE","LB Quarterfinals","1","25.00","9 - 26"
"2093135715","01/20/16","Canada Cup 6","coL 2","DC","DIRE","UB Quarterfinals","2","25.05","7 - 18"
"2114306261","01/29/16","Canada Cup 6","Infamous 2","DC","RADIANT","","","25.23","21 - 19"
"2147422945","02/12/16","ESL One EU Qualifiers","TSpirit","LC","DIRE","","","25.35","15 - 22"
"2128537550","02/04/16","Dota Pit League Season 4","99","Vega","DIRE","","","25.50","25 - 38"
"2111659733","01/28/16","WePlay 3 Americas Qualifiers","Infamous 2","E.Wolves","DIRE","","","25.52","15 - 26"
"2104713467","01/25/16","Dota Pit League Season 4","Empire","Power Rangers","RADIANT","","","25.52","36 - 14"
"2109649818","01/27/16","MarsTV League Winter 2015 Finals","Mineski","EHOME","DIRE","","","25.53","8 - 20"
"2161247598","02/18/16","WePlay 3 EU Qualifiers","WG 2","PRIES 2","DIRE","","","25.55","15 - 31"
"2142507011","02/10/16","Dota Pit League Season 4","FF","Liquid","DIRE","","","25.55","11 - 23"
"2144799871","02/11/16","WePlay 3 EU Qualifiers","Vega","FF","RADIANT","","","25.57","18 - 7"
"2088817596","01/18/16","Canada Cup 6","E.Wolves","Infamous 2","RADIANT","UB Semifinals","1","25.57","35 - 16"
"2102185922","01/24/16","ProDota 2 National Cup","TeamRO","Unknown","DIRE","","","25.58","12 - 21"
"2140259424","02/09/16","WePlay 3 EU Qualifiers","HR","FF","RADIANT","","","25.62","28 - 5"
"2201993554","03/06/16","Shanghai Major Finals","Liquid","Secret","DIRE","","","25.67","3 - 26"
"2113082962","01/29/16","WePlay 3 SEA Qualifiers","Redeem","XctN 2","RADIANT","","","25.80","33 - 5"
"2162907991","02/19/16","WePlay 3 SEA Qualifiers","Mineski","XctN 2","DIRE","","","25.90","13 - 23"
"2176498930","02/24/16","Shanghai Major Finals","EHOME","MVP Phoenix","DIRE","","","25.93","6 - 23"
"2091175303","01/19/16","MarsTV League 2015 China Qualifiers","DW","CDEC","DIRE","UB Quarterfinals","2","25.95","3 - 19"
"2105338847","01/25/16","Canada Cup 6","Infamous 2","NoT","RADIANT","","","26.05","37 - 17"
"2157050994","02/16/16","ESL One Americas Qualifiers","coL 2","E.Wolves","RADIANT","","","26.13","31 - 14"
"2112812155","01/29/16","MarsTV League Winter 2015 Finals","OG","LGD.cn","RADIANT","","","26.15","22 - 5"
"2159126237","02/17/16","WePlay 3 EU Qualifiers","HR","TSpirit","DIRE","","","26.17","10 - 28"
"2178362915","02/25/16","WePlay 3 EU Qualifiers","AF  3","COOKISS","RADIANT","","","26.27","33 - 15"
